,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.607,0.487,0.318,0.65
results_f,RF-FA,f,0.207,0.631,0.55,0.464
results_f,RF-BW,f,0.607,0.625,0.533,0.652
results_f,RF-CORAL,f,0.55,0.51,0.467,0.638
results_f,RF-SA,f,0.71,0.478,0.672,0.525
results_f,LR,f,0.536,0.504,0.219,0.677
results_f,LR-FA,f,0.312,0.681,0.371,0.382
results_f,LR-BW,f,0.423,0.668,0.369,0.629
results_f,LR-CORAL,f,0.574,0.517,0.118,0.67
results_f,LR-SA,f,0.483,0.498,0.532,0.688
results_f_std,RF,f_std,0.01,0.009,0.061,0.012
results_f_std,RF-FA,f_std,0.028,0.002,0.001,0.002
results_f_std,RF-BW,f_std,0.006,0.005,0.004,0.007
results_f_std,RF-CORAL,f_std,0.039,0.021,0.072,0.03
results_f_std,RF-SA,f_std,0.009,0.01,0.009,0.018
results_f_std,LR,f_std,0.007,0.01,0.022,0.002
results_f_std,LR-FA,f_std,0.027,0.002,0.009,0.014
results_f_std,LR-BW,f_std,0.02,0.003,0.008,0.012
results_f_std,LR-CORAL,f_std,0.015,0.019,0.012,0.006
results_f_std,LR-SA,f_std,0.013,0.001,0.034,0.002
results_np,RF,np,0.677/0.346,0.744/0.091,0.314/0.335,0.691/0.586
results_np,RF-FA,np,0.17/0.347,0.668/0.574,0.608/0.334,0.706/0.089
results_np,RF-BW,np,0.679/0.34,0.664/0.564,0.588/0.327,0.703/0.575
results_np,RF-CORAL,np,0.609/0.328,0.683/0.243,0.509/0.31,0.768/0.438
results_np,RF-SA,np,0.87/0.11,0.744/0.069,0.815/0.137,0.761/0.161
results_np,LR,np,0.584/0.358,0.549/0.434,0.187/0.342,0.712/0.624
results_np,LR-FA,np,0.302/0.351,0.744/0.583,0.381/0.335,0.259/0.572
results_np,LR-BW,np,0.445/0.341,0.72/0.588,0.376/0.346,0.66/0.581
results_np,LR-CORAL,np,0.632/0.355,0.585/0.412,0.058/0.343,0.698/0.627
results_np,LR-SA,np,0.516/0.359,0.527/0.452,0.599/0.283,0.749/0.593
results_np_std,RF,np_std,0.012/0.346,0.008/0.091,0.079/0.335,0.017/0.586
results_np_std,RF-FA,np_std,0.035/0.347,0.002/0.574,0.002/0.334,0.011/0.089
results_np_std,RF-BW,np_std,0.007/0.34,0.006/0.564,0.005/0.327,0.015/0.575
results_np_std,RF-CORAL,np_std,0.054/0.328,0.026/0.243,0.096/0.31,0.005/0.438
results_np_std,RF-SA,np_std,0.011/0.11,0.01/0.069,0.016/0.137,0.004/0.161
results_np_std,LR,np_std,0.008/0.358,0.019/0.434,0.028/0.342,0.002/0.624
results_np_std,LR-FA,np_std,0.035/0.351,0.003/0.583,0.012/0.335,0.023/0.572
