,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.679,0.504,0.348,0.69
results_f,RF-FA,f,0.314,0.698,0.686,0.519
results_f,RF-BW,f,0.673,0.68,0.692,0.683
results_f,RF-CORAL,f,0.626,0.508,0.363,0.691
results_f,RF-SA,f,0.689,0.496,0.675,0.645
results_f,LR,f,0.636,0.51,0.219,0.679
results_f,LR-FA,f,0.33,0.672,0.612,0.613
results_f,LR-BW,f,0.704,0.638,0.693,0.642
results_f,LR-CORAL,f,0.61,0.492,0.25,0.68
results_f,LR-SA,f,0.587,0.568,0.69,0.532
results_f_std,RF,f_std,0.012,0.011,0.083,0.005
results_f_std,RF-FA,f_std,0.019,0.004,0.001,0.01
results_f_std,RF-BW,f_std,0.009,0.002,0.004,0.005
results_f_std,RF-CORAL,f_std,0.039,0.019,0.057,0.004
results_f_std,RF-SA,f_std,0.052,0.028,0.002,0.015
results_f_std,LR,f_std,0.006,0.017,0.011,0.002
results_f_std,LR-FA,f_std,0.003,0.001,0.002,0.002
results_f_std,LR-BW,f_std,0.002,0.003,0.008,0.004
results_f_std,LR-CORAL,f_std,0.01,0.01,0.025,0.004
results_f_std,LR-SA,f_std,0.025,0.018,0.002,0.009
results_np,RF,np,0.777/0.315,0.725/0.163,0.35/0.338,0.792/0.534
results_np,RF-FA,np,0.304/0.348,0.79/0.554,0.788/0.304,0.741/0.176
results_np,RF-BW,np,0.767/0.319,0.782/0.523,0.801/0.285,0.789/0.52
results_np,RF-CORAL,np,0.715/0.292,0.663/0.268,0.367/0.347,0.765/0.577
results_np,RF-SA,np,0.83/0.163,0.754/0.097,0.831/0.094,0.787/0.425
results_np,LR,np,0.723/0.314,0.752/0.137,0.186/0.342,0.796/0.499
results_np,LR-FA,np,0.323/0.354,0.79/0.492,0.687/0.333,0.705/0.472
results_np,LR-BW,np,0.833/0.222,0.785/0.411,0.808/0.265,0.789/0.416
results_np,LR-CORAL,np,0.684/0.334,0.75/0.095,0.225/0.342,0.72/0.617
results_np,LR-SA,np,0.652/0.341,0.744/0.296,0.846/0.111,0.771/0.164
results_np_std,RF,np_std,0.016/0.315,0.014/0.163,0.107/0.338,0.002/0.534
results_np_std,RF-FA,np_std,0.024/0.348,0.002/0.554,0.002/0.304,0.002/0.176
results_np_std,RF-BW,np_std,0.01/0.319,0.002/0.523,0.006/0.285,0.005/0.52
results_np_std,RF-CORAL,np_std,0.06/0.292,0.068/0.268,0.072/0.347,0.004/0.577
results_np_std,RF-SA,np_std,0.091/0.163,0.003/0.097,0.001/0.094,0.006/0.425
results_np_std,LR,np_std,0.008/0.314,0.002/0.137,0.014/0.342,0.002/0.499
results_np_std,LR-FA,np_std,0.003/0.354,0.0/0.492,0.002/0.333,0.006/0.472
results_np_std,LR-BW,np_std,0.008/0.222,0.001/0.411,0.012/0.265,0.001/0.416
results_np_std,LR-CORAL,np_std,0.014/0.334,0.007/0.095,0.033/0.342,0.006/0.617
results_np_std,LR-SA,np_std,0.034/0.341,0.004/0.296,0.006/0.111,0.002/0.164
results_np_P,RF,np_P,0.814/0.278,0.607/0.405,0.81/0.216,0.705/0.736
results_np_P,RF-FA,np_P,0.824/0.219,0.713/0.72,0.811/0.277,0.616/0.498
results_np_P,RF-BW,np_P,0.815/0.273,0.701/0.701,0.808/0.277,0.7/0.732
results_np_P,RF-CORAL,np_P,0.806/0.235,0.602/0.402,0.822/0.222,0.724/0.642
results_np_P,RF-SA,np_P,0.802/0.399,0.615/0.596,0.781/0.142,0.674/0.781
results_np_P,LR,np_P,0.81/0.248,0.617/0.571,0.791/0.211,0.695/0.781
results_np_P,LR-FA,np_P,0.84/0.223,0.691/0.75,0.817/0.249,0.669/0.524
results_np_P,LR-BW,np_P,0.8/0.276,0.67/0.776,0.804/0.271,0.672/0.805
results_np_P,LR-CORAL,np_P,0.818/0.249,0.612/0.538,0.798/0.212,0.758/0.578
results_np_P,LR-SA,np_P,0.821/0.246,0.635/0.562,0.787/0.193,0.628/0.955
results_np_R,RF,np_R,0.743/0.367,0.898/0.105,0.231/0.79,0.902/0.419
results_np_R,RF-FA,np_R,0.187/0.852,0.886/0.451,0.766/0.335,0.93/0.107
results_np_R,RF-BW,np_R,0.725/0.385,0.884/0.418,0.794/0.295,0.904/0.404
results_np_R,RF-CORAL,np_R,0.652/0.406,0.754/0.236,0.24/0.807,0.81/0.524
results_np_R,RF-SA,np_R,0.884/0.171,0.977/0.056,0.887/0.07,0.947/0.293
results_np_R,LR,np_R,0.652/0.429,0.963/0.079,0.106/0.896,0.933/0.367
results_np_R,LR-FA,np_R,0.2/0.858,0.921/0.366,0.592/0.505,0.746/0.43
results_np_R,LR-BW,np_R,0.869/0.187,0.948/0.279,0.812/0.261,0.956/0.28
results_np_R,LR-CORAL,np_R,0.588/0.51,0.968/0.053,0.132/0.874,0.687/0.661
results_np_R,LR-SA,np_R,0.543/0.558,0.899/0.203,0.913/0.078,0.997/0.09
results_np_AUC,RF,AUC,0.5825403227728909,0.5420826368694617,0.4829204033469213,0.7298588372678773
results_np_AUC,RF-FA,AUC,0.0,0.7140309802395073,0.5806916017068344,0.0
results_np_AUC,RF-BW,AUC,0.0,0.7075352620612277,0.5754914777467878,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5136325647425182,0.4952111373334287,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6385796144070708,0.4881363560513957,0.0
results_np_AUC,LR,AUC,0.5808757300531598,0.616985895175509,0.5046189420486782,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.6905238934810982,0.5633454909533006,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7201274242667093,0.5563037974683543,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5536057747349621,0.49574569119645284,0.0
results_np_AUC,LR-SA,AUC,0.0,0.617309321548783,0.5046189420486782,0.0
