,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.681,0.515,0.345,0.688
results_f,RF-FA,f,0.217,0.687,0.718,0.467
results_f,RF-BW,f,0.664,0.654,0.715,0.681
results_f,RF-CORAL,f,0.544,0.504,0.261,0.697
results_f,RF-SA,f,0.686,0.515,0.679,0.616
results_f,LR,f,0.63,0.469,0.201,0.681
results_f,LR-FA,f,0.562,0.63,0.632,0.518
results_f,LR-BW,f,0.673,0.579,0.696,0.595
results_f,LR-CORAL,f,0.542,0.485,0.259,0.69
results_f,LR-SA,f,0.545,0.532,0.689,0.521
results_f_std,RF,f_std,0.004,0.015,0.085,0.005
results_f_std,RF-FA,f_std,0.012,0.002,0.001,0.004
results_f_std,RF-BW,f_std,0.01,0.004,0.001,0.004
results_f_std,RF-CORAL,f_std,0.034,0.022,0.092,0.002
results_f_std,RF-SA,f_std,0.042,0.024,0.003,0.014
results_f_std,LR,f_std,0.002,0.005,0.031,0.001
results_f_std,LR-FA,f_std,0.005,0.001,0.0,0.006
results_f_std,LR-BW,f_std,0.015,0.002,0.01,0.004
results_f_std,LR-CORAL,f_std,0.004,0.005,0.023,0.004
results_f_std,LR-SA,f_std,0.029,0.018,0.002,0.005
results_np,RF,np,0.781/0.308,0.702/0.228,0.348/0.334,0.791/0.53
results_np,RF-FA,np,0.182/0.346,0.795/0.52,0.861/0.183,0.749/0.03
results_np,RF-BW,np,0.759/0.309,0.783/0.456,0.857/0.187,0.789/0.513
results_np,RF-CORAL,np,0.598/0.342,0.578/0.389,0.239/0.345,0.78/0.57
results_np,RF-SA,np,0.806/0.237,0.755/0.144,0.835/0.093,0.777/0.368
results_np,LR,np,0.713/0.32,0.754/0.03,0.163/0.342,0.797/0.503
results_np,LR-FA,np,0.629/0.311,0.784/0.392,0.72/0.302,0.736/0.183
results_np,LR-BW,np,0.782/0.269,0.775/0.275,0.826/0.212,0.779/0.313
results_np,LR-CORAL,np,0.593/0.35,0.751/0.074,0.237/0.342,0.737/0.617
results_np,LR-SA,np,0.597/0.349,0.749/0.197,0.844/0.108,0.768/0.141
results_np_std,RF,np_std,0.004/0.308,0.015/0.228,0.112/0.334,0.002/0.53
results_np_std,RF-FA,np_std,0.015/0.346,0.001/0.52,0.0/0.183,0.002/0.03
results_np_std,RF-BW,np_std,0.011/0.309,0.002/0.456,0.002/0.187,0.003/0.513
results_np_std,RF-CORAL,np_std,0.046/0.342,0.069/0.389,0.117/0.345,0.008/0.57
results_np_std,RF-SA,np_std,0.067/0.237,0.004/0.144,0.006/0.093,0.007/0.368
results_np_std,LR,np_std,0.003/0.32,0.001/0.03,0.04/0.342,0.002/0.503
results_np_std,LR-FA,np_std,0.007/0.311,0.0/0.392,0.0/0.302,0.006/0.183
results_np_std,LR-BW,np_std,0.02/0.269,0.001/0.275,0.019/0.212,0.001/0.313
results_np_std,LR-CORAL,np_std,0.005/0.35,0.006/0.074,0.03/0.342,0.007/0.617
results_np_std,LR-SA,np_std,0.039/0.349,0.003/0.197,0.007/0.108,0.001/0.141
results_np_P,RF,np_P,0.812/0.275,0.605/0.39,0.806/0.213,0.704/0.735
results_np_P,RF-FA,np_P,0.811/0.214,0.701/0.759,0.799/0.333,0.606/0.36
results_np_P,RF-BW,np_P,0.811/0.262,0.68/0.733,0.799/0.317,0.698/0.736
results_np_P,RF-CORAL,np_P,0.821/0.238,0.599/0.388,0.816/0.215,0.721/0.682
results_np_P,RF-SA,np_P,0.803/0.291,0.62/0.637,0.782/0.149,0.659/0.756
results_np_P,LR,np_P,0.812/0.248,0.608/0.508,0.778/0.211,0.696/0.78
results_np_P,LR-FA,np_P,0.8/0.223,0.666/0.786,0.805/0.239,0.615/0.474
results_np_P,LR-BW,np_P,0.801/0.251,0.643/0.816,0.797/0.26,0.65/0.813
results_np_P,LR-CORAL,np_P,0.826/0.241,0.611/0.593,0.8/0.213,0.755/0.597
results_np_P,LR-SA,np_P,0.827/0.242,0.623/0.564,0.787/0.187,0.625/0.947
results_np_R,RF,np_R,0.752/0.351,0.835/0.161,0.231/0.782,0.903/0.415
results_np_R,RF-FA,np_R,0.103/0.91,0.919/0.395,0.932/0.126,0.981/0.016
results_np_R,RF-BW,np_R,0.714/0.378,0.922/0.331,0.923/0.133,0.908/0.394
results_np_R,RF-CORAL,np_R,0.474/0.613,0.571/0.414,0.147/0.874,0.85/0.492
results_np_R,RF-SA,np_R,0.822/0.243,0.968/0.084,0.896/0.068,0.945/0.246
results_np_R,LR,np_R,0.635/0.45,0.991/0.016,0.092/0.904,0.932/0.372
results_np_R,LR-FA,np_R,0.519/0.516,0.954/0.261,0.652/0.409,0.917/0.114
results_np_R,LR-BW,np_R,0.764/0.293,0.976/0.166,0.858/0.185,0.971/0.194
results_np_R,LR-CORAL,np_R,0.463/0.637,0.977/0.04,0.14/0.869,0.719/0.639
results_np_R,LR-SA,np_R,0.469/0.631,0.941/0.121,0.911/0.077,0.997/0.076
results_np_AUC,RF,AUC,0.5841334954349329,0.528075126508369,0.4876902905909557,0.728845625443638
results_np_AUC,RF-FA,AUC,0.0,0.71890241110068,0.5904029178287921,0.0
results_np_AUC,RF-BW,AUC,0.0,0.7133726787717812,0.5857246656654509,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.4961832825773361,0.5040771412906148,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6435755501110526,0.4702331879186632,0.0
results_np_AUC,LR,AUC,0.578938139168991,0.5682486891214251,0.5054004624663282,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.6963885009044489,0.5554227275977973,0.0
results_np_AUC,LR-BW,AUC,0.0,0.709045062166556,0.5454744570788338,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5478041352780894,0.4950938520584519,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5682486891214251,0.5054004624663282,0.0
