,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.683,0.545,0.308,0.692
results_f,RF-FA,f,0.344,0.667,0.695,0.475
results_f,RF-BW,f,0.68,0.646,0.672,0.682
results_f,RF-CORAL,f,0.527,0.557,0.242,0.686
results_f,RF-SA,f,0.672,0.526,0.676,0.604
results_f,LR,f,0.621,0.475,0.202,0.679
results_f,LR-FA,f,0.074,0.631,0.691,0.526
results_f,LR-BW,f,0.714,0.562,0.709,0.629
results_f,LR-CORAL,f,0.527,0.49,0.249,0.685
results_f,LR-SA,f,0.517,0.559,0.691,0.519
results_f_std,RF,f_std,0.012,0.021,0.089,0.006
results_f_std,RF-FA,f_std,0.029,0.002,0.004,0.002
results_f_std,RF-BW,f_std,0.008,0.008,0.006,0.005
results_f_std,RF-CORAL,f_std,0.082,0.051,0.043,0.014
results_f_std,RF-SA,f_std,0.03,0.02,0.004,0.008
results_f_std,LR,f_std,0.009,0.011,0.012,0.003
results_f_std,LR-FA,f_std,0.0,0.001,0.001,0.004
results_f_std,LR-BW,f_std,0.004,0.009,0.003,0.005
results_f_std,LR-CORAL,f_std,0.042,0.01,0.024,0.004
results_f_std,LR-SA,f_std,0.044,0.016,0.002,0.006
results_np,RF,np,0.783/0.309,0.733/0.254,0.301/0.338,0.794/0.535
results_np,RF-FA,np,0.343/0.348,0.789/0.478,0.789/0.343,0.744/0.06
results_np,RF-BW,np,0.779/0.314,0.786/0.429,0.767/0.319,0.791/0.515
results_np,RF-CORAL,np,0.576/0.342,0.735/0.281,0.213/0.35,0.755/0.58
results_np,RF-SA,np,0.765/0.324,0.761/0.164,0.825/0.122,0.769/0.349
results_np,LR,np,0.7/0.326,0.754/0.045,0.164/0.342,0.796/0.5
results_np,LR-FA,np,0.0/0.349,0.786/0.392,0.789/0.322,0.763/0.162
results_np,LR-BW,np,0.852/0.202,0.771/0.239,0.869/0.112,0.786/0.388
results_np,LR-CORAL,np,0.575/0.349,0.754/0.083,0.223/0.343,0.729/0.618
results_np,LR-SA,np,0.561/0.353,0.753/0.259,0.841/0.129,0.768/0.136
results_np_std,RF,np_std,0.017/0.309,0.015/0.254,0.115/0.338,0.003/0.535
results_np_std,RF-FA,np_std,0.037/0.348,0.001/0.478,0.006/0.343,0.002/0.06
results_np_std,RF-BW,np_std,0.01/0.314,0.003/0.429,0.009/0.319,0.003/0.515
results_np_std,RF-CORAL,np_std,0.108/0.342,0.02/0.281,0.054/0.35,0.025/0.58
results_np_std,RF-SA,np_std,0.04/0.324,0.005/0.164,0.009/0.122,0.013/0.349
results_np_std,LR,np_std,0.012/0.326,0.001/0.045,0.015/0.342,0.001/0.5
results_np_std,LR-FA,np_std,0.0/0.349,0.001/0.392,0.002/0.322,0.001/0.162
results_np_std,LR-BW,np_std,0.007/0.202,0.003/0.239,0.002/0.112,0.002/0.388
results_np_std,LR-CORAL,np_std,0.056/0.349,0.006/0.083,0.031/0.343,0.006/0.618
results_np_std,LR-SA,np_std,0.057/0.353,0.006/0.259,0.008/0.129,0.001/0.136
results_np_P,RF,np_P,0.813/0.279,0.624/0.507,0.805/0.213,0.706/0.746
results_np_P,RF-FA,np_P,0.825/0.221,0.687/0.755,0.824/0.303,0.606/0.366
results_np_P,RF-BW,np_P,0.814/0.277,0.674/0.772,0.815/0.273,0.699/0.742
results_np_P,RF-CORAL,np_P,0.825/0.243,0.637/0.579,0.831/0.217,0.727/0.63
results_np_P,RF-SA,np_P,0.817/0.282,0.624/0.741,0.783/0.167,0.653/0.727
results_np_P,LR,np_P,0.814/0.248,0.61/0.553,0.786/0.211,0.695/0.776
results_np_P,LR-FA,np_P,0.0/0.211,0.666/0.8,0.817/0.291,0.624/0.745
results_np_P,LR-BW,np_P,0.8/0.311,0.637/0.806,0.794/0.314,0.665/0.804
results_np_P,LR-CORAL,np_P,0.828/0.24,0.613/0.628,0.804/0.213,0.757/0.588
results_np_P,LR-SA,np_P,0.831/0.24,0.632/0.607,0.788/0.205,0.624/0.951
results_np_R,RF,np_R,0.756/0.35,0.889/0.172,0.193/0.818,0.908/0.417
results_np_R,RF-FA,np_R,0.218/0.827,0.926/0.35,0.757/0.395,0.963/0.033
results_np_R,RF-BW,np_R,0.747/0.362,0.943/0.297,0.725/0.385,0.911/0.394
results_np_R,RF-CORAL,np_R,0.459/0.631,0.879/0.219,0.124/0.906,0.788/0.543
results_np_R,RF-SA,np_R,0.722/0.395,0.975/0.094,0.871/0.097,0.935/0.234
results_np_R,LR,np_R,0.614/0.476,0.989/0.024,0.092/0.907,0.931/0.369
results_np_R,LR-FA,np_R,0.0/1.0,0.958/0.259,0.764/0.362,0.98/0.091
results_np_R,LR-BW,np_R,0.91/0.152,0.978/0.141,0.96/0.069,0.96/0.256
results_np_R,LR-CORAL,np_R,0.444/0.653,0.98/0.045,0.13/0.88,0.704/0.65
results_np_R,LR-SA,np_R,0.427/0.674,0.93/0.166,0.902/0.096,0.998/0.073
results_np_AUC,RF,AUC,0.5830976662137357,0.592704588647448,0.4870360676059024,0.7345599684015296
results_np_AUC,RF-FA,AUC,0.0,0.7307003182744487,0.6018086724355765,0.0
results_np_AUC,RF-BW,AUC,0.0,0.727188423053145,0.5797152733080646,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5983759989009227,0.48855162220791915,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6991132965447758,0.4800382369067201,0.0
results_np_AUC,LR,AUC,0.5822755250423133,0.6071714789458018,0.5038143459915612,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.7116067135300987,0.5856138644544565,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7198870011219748,0.5594882357147966,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5616828475259315,0.48867272163817965,0.0
results_np_AUC,LR-SA,AUC,0.0,0.6071714789458018,0.5038141552837969,0.0
