,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.678,0.553,0.297,0.692
results_f,RF-FA,f,0.279,0.657,0.684,0.533
results_f,RF-BW,f,0.678,0.641,0.664,0.684
results_f,RF-CORAL,f,0.605,0.511,0.347,0.672
results_f,RF-SA,f,0.678,0.525,0.675,0.569
results_f,LR,f,0.625,0.508,0.208,0.68
results_f,LR-FA,f,0.157,0.639,0.642,0.621
results_f,LR-BW,f,0.689,0.569,0.7,0.644
results_f,LR-CORAL,f,0.577,0.483,0.256,0.685
results_f,LR-SA,f,0.56,0.568,0.691,0.533
results_f_std,RF,f_std,0.013,0.007,0.074,0.003
results_f_std,RF-FA,f_std,0.021,0.002,0.002,0.013
results_f_std,RF-BW,f_std,0.007,0.003,0.01,0.003
results_f_std,RF-CORAL,f_std,0.069,0.028,0.067,0.024
results_f_std,RF-SA,f_std,0.05,0.021,0.003,0.016
results_f_std,LR,f_std,0.005,0.026,0.016,0.002
results_f_std,LR-FA,f_std,0.003,0.005,0.001,0.002
results_f_std,LR-BW,f_std,0.005,0.006,0.005,0.005
results_f_std,LR-CORAL,f_std,0.022,0.008,0.023,0.003
results_f_std,LR-SA,f_std,0.046,0.009,0.002,0.01
results_np,RF,np,0.777/0.307,0.727/0.284,0.284/0.344,0.794/0.535
results_np,RF-FA,np,0.258/0.355,0.79/0.452,0.788/0.293,0.749/0.2
results_np,RF-BW,np,0.777/0.307,0.784/0.421,0.762/0.299,0.791/0.517
results_np,RF-CORAL,np,0.685/0.305,0.678/0.252,0.348/0.345,0.73/0.583
results_np,RF-SA,np,0.777/0.309,0.762/0.159,0.826/0.112,0.63/0.475
results_np,LR,np,0.706/0.322,0.75/0.134,0.173/0.339,0.797/0.5
results_np,LR-FA,np,0.105/0.35,0.789/0.407,0.735/0.296,0.695/0.508
results_np,LR-BW,np,0.799/0.28,0.772/0.255,0.833/0.203,0.783/0.428
results_np,LR-CORAL,np,0.64/0.34,0.749/0.072,0.234/0.338,0.73/0.617
results_np,LR-SA,np,0.618/0.345,0.742/0.3,0.855/0.076,0.771/0.167
results_np_std,RF,np_std,0.017/0.307,0.022/0.284,0.095/0.344,0.001/0.535
results_np_std,RF-FA,np_std,0.026/0.355,0.001/0.452,0.003/0.293,0.001/0.2
results_np_std,RF-BW,np_std,0.009/0.307,0.001/0.421,0.015/0.299,0.001/0.517
results_np_std,RF-CORAL,np_std,0.095/0.305,0.083/0.252,0.086/0.345,0.039/0.583
results_np_std,RF-SA,np_std,0.071/0.309,0.003/0.159,0.004/0.112,0.035/0.475
results_np_std,LR,np_std,0.006/0.322,0.004/0.134,0.021/0.339,0.002/0.5
results_np_std,LR-FA,np_std,0.004/0.35,0.002/0.407,0.002/0.296,0.004/0.508
results_np_std,LR-BW,np_std,0.01/0.28,0.002/0.255,0.013/0.203,0.001/0.428
results_np_std,LR-CORAL,np_std,0.03/0.34,0.009/0.072,0.031/0.338,0.006/0.617
results_np_std,LR-SA,np_std,0.061/0.345,0.007/0.3,0.005/0.076,0.002/0.167
results_np_P,RF,np_P,0.812/0.273,0.627/0.521,0.814/0.216,0.706/0.746
results_np_P,RF-FA,np_P,0.85/0.221,0.681/0.782,0.808/0.27,0.623/0.568
results_np_P,RF-BW,np_P,0.811/0.271,0.672/0.764,0.808/0.257,0.7/0.743
results_np_P,RF-CORAL,np_P,0.808/0.242,0.606/0.416,0.818/0.219,0.73/0.594
results_np_P,RF-SA,np_P,0.817/0.297,0.624/0.751,0.782/0.158,0.653/0.457
