,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.673,0.54,0.3,0.693
results_f,RF-FA,f,0.126,0.687,0.702,0.466
results_f,RF-BW,f,0.676,0.691,0.687,0.684
results_f,RF-CORAL,f,0.525,0.555,0.414,0.687
results_f,RF-SA,f,0.695,0.517,0.676,0.601
results_f,LR,f,0.622,0.471,0.255,0.68
results_f,LR-FA,f,0.083,0.684,0.635,0.574
results_f,LR-BW,f,0.709,0.619,0.707,0.594
results_f,LR-CORAL,f,0.514,0.489,0.303,0.69
results_f,LR-SA,f,0.529,0.534,0.691,0.543
results_f_std,RF,f_std,0.024,0.009,0.118,0.005
results_f_std,RF-FA,f_std,0.006,0.004,0.002,0.001
results_f_std,RF-BW,f_std,0.009,0.002,0.004,0.005
results_f_std,RF-CORAL,f_std,0.058,0.03,0.032,0.015
results_f_std,RF-SA,f_std,0.019,0.015,0.004,0.03
results_f_std,LR,f_std,0.005,0.007,0.023,0.002
results_f_std,LR-FA,f_std,0.0,0.001,0.004,0.006
results_f_std,LR-BW,f_std,0.004,0.005,0.003,0.006
results_f_std,LR-CORAL,f_std,0.011,0.008,0.04,0.004
results_f_std,LR-SA,f_std,0.036,0.007,0.003,0.01
results_np,RF,np,0.77/0.309,0.695/0.299,0.29/0.335,0.793/0.537
results_np,RF-FA,np,0.067/0.347,0.78/0.545,0.818/0.268,0.755/0.021
results_np,RF-BW,np,0.774/0.311,0.783/0.55,0.805/0.246,0.792/0.517
results_np,RF-CORAL,np,0.578/0.329,0.643/0.419,0.432/0.347,0.759/0.576
results_np,RF-SA,np,0.81/0.266,0.757/0.148,0.842/0.058,0.7/0.449
results_np,LR,np,0.701/0.327,0.754/0.035,0.232/0.342,0.797/0.5
results_np,LR-FA,np,0.012/0.348,0.791/0.52,0.717/0.327,0.731/0.331
results_np,LR-BW,np,0.852/0.175,0.786/0.36,0.865/0.116,0.777/0.311
results_np,LR-CORAL,np,0.557/0.353,0.752/0.084,0.293/0.339,0.736/0.618
results_np,LR-SA,np,0.576/0.355,0.749/0.201,0.847/0.109,0.774/0.188
results_np_std,RF,np_std,0.03/0.309,0.012/0.299,0.154/0.335,0.003/0.537
results_np_std,RF-FA,np_std,0.008/0.347,0.003/0.545,0.003/0.268,0.0/0.021
results_np_std,RF-BW,np_std,0.011/0.311,0.001/0.55,0.006/0.246,0.002/0.517
results_np_std,RF-CORAL,np_std,0.077/0.329,0.066/0.419,0.041/0.347,0.025/0.576
results_np_std,RF-SA,np_std,0.039/0.266,0.005/0.148,0.006/0.058,0.025/0.449
results_np_std,LR,np_std,0.007/0.327,0.001/0.035,0.029/0.342,0.002/0.5
results_np_std,LR-FA,np_std,0.001/0.348,0.0/0.52,0.006/0.327,0.004/0.331
results_np_std,LR-BW,np_std,0.011/0.175,0.002/0.36,0.005/0.116,0.001/0.311
results_np_std,LR-CORAL,np_std,0.014/0.353,0.007/0.084,0.051/0.339,0.007/0.618
results_np_std,LR-SA,np_std,0.046/0.355,0.002/0.201,0.007/0.109,0.003/0.188
results_np_P,RF,np_P,0.812/0.272,0.616/0.428,0.806/0.213,0.707/0.741
results_np_P,RF-FA,np_P,0.802/0.212,0.709/0.687,0.806/0.285,0.608/0.577
results_np_P,RF-BW,np_P,0.813/0.272,0.711/0.694,0.799/0.254,0.7/0.746
results_np_P,RF-CORAL,np_P,0.812/0.228,0.633/0.456,0.822/0.224,0.724/0.637
results_np_P,RF-SA,np_P,0.808/0.301,0.62/0.679,0.78/0.109,0.658/0.509
results_np_P,LR,np_P,0.814/0.249,0.609/0.562,0.8/0.213,0.695/0.783
results_np_P,LR-FA,np_P,0.728/0.211,0.701/0.739,0.815/0.254,0.636/0.527
results_np_P,LR-BW,np_P,0.797/0.29,0.66/0.841,0.793/0.287,0.649/0.801
results_np_P,LR-CORAL,np_P,0.83/0.238,0.612/0.581,0.8/0.213,0.755/0.597
results_np_P,LR-SA,np_P,0.832/0.243,0.623/0.57,0.787/0.195,0.632/0.961
results_np_R,RF,np_R,0.734/0.365,0.799/0.232,0.194/0.815,0.904/0.422
results_np_R,RF-FA,np_R,0.035/0.968,0.866/0.452,0.83/0.253,0.995/0.011
results_np_R,RF-BW,np_R,0.739/0.363,0.87/0.455,0.811/0.24,0.912/0.396
results_np_R,RF-CORAL,np_R,0.456/0.601,0.663/0.41,0.295/0.762,0.799/0.53
results_np_R,RF-SA,np_R,0.816/0.274,0.97/0.085,0.914/0.04,0.747/0.402
results_np_R,LR,np_R,0.615/0.476,0.99/0.018,0.136/0.873,0.934/0.367
results_np_R,LR-FA,np_R,0.006/0.992,0.908/0.402,0.641/0.457,0.859/0.242
results_np_R,LR-BW,np_R,0.915/0.13,0.972/0.229,0.951/0.074,0.969/0.193
results_np_R,LR-CORAL,np_R,0.419/0.679,0.975/0.046,0.181/0.83,0.719/0.641
results_np_R,LR-SA,np_R,0.443/0.666,0.94/0.122,0.917/0.076,0.997/0.104
results_np_AUC,RF,AUC,0.5747117690528976,0.5475494012318824,0.48617893155975117,0.7331818285897466
results_np_AUC,RF-FA,AUC,0.0,0.7137619352918279,0.5689289375193688,0.0
results_np_AUC,RF-BW,AUC,0.0,0.713687518604172,0.5561352118048106,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5674501408192705,0.5015675224677585,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6399148215144368,0.4881990989058142,0.0
results_np_AUC,LR,AUC,0.582219075544113,0.583710187072104,0.5021218145843763,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.7067581801112816,0.564677966101695,0.0
results_np_AUC,LR-BW,AUC,0.0,0.717883474915852,0.5529902500655558,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5478556545233897,0.49241745929581154,0.0
results_np_AUC,LR-SA,AUC,0.0,0.583710187072104,0.5021221959999046,0.0
