,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.692,0.58,0.333,0.689
results_f,RF-FA,f,0.14,0.683,0.697,0.477
results_f,RF-BW,f,0.686,0.683,0.697,0.677
results_f,RF-CORAL,f,0.462,0.514,0.287,0.692
results_f,RF-SA,f,0.362,0.58,0.667,0.589
results_f,LR,f,0.618,0.463,0.13,0.678
results_f,LR-FA,f,0.119,0.656,0.638,0.56
results_f,LR-BW,f,0.707,0.609,0.701,0.61
results_f,LR-CORAL,f,0.522,0.48,0.167,0.685
results_f,LR-SA,f,0.498,0.528,0.691,0.512
results_f_std,RF,f_std,0.007,0.026,0.063,0.002
results_f_std,RF-FA,f_std,0.004,0.001,0.003,0.003
results_f_std,RF-BW,f_std,0.005,0.002,0.002,0.004
results_f_std,RF-CORAL,f_std,0.07,0.045,0.029,0.008
results_f_std,RF-SA,f_std,0.09,0.013,0.004,0.015
results_f_std,LR,f_std,0.006,0.0,0.023,0.002
results_f_std,LR-FA,f_std,0.001,0.001,0.001,0.004
results_f_std,LR-BW,f_std,0.004,0.0,0.004,0.005
results_f_std,LR-CORAL,f_std,0.014,0.007,0.03,0.004
results_f_std,LR-SA,f_std,0.04,0.018,0.003,0.006
results_np,RF,np,0.792/0.32,0.67/0.441,0.329/0.347,0.792/0.53
results_np,RF-FA,np,0.084/0.351,0.791/0.518,0.796/0.326,0.74/0.07
results_np,RF-BW,np,0.784/0.321,0.791/0.517,0.798/0.321,0.789/0.505
results_np,RF-CORAL,np,0.493/0.347,0.532/0.485,0.271/0.347,0.769/0.573
results_np,RF-SA,np,0.368/0.34,0.776/0.278,0.813/0.119,0.768/0.314
results_np,LR,np,0.695/0.329,0.756/0.012,0.074/0.339,0.795/0.498
results_np,LR-FA,np,0.057/0.349,0.791/0.448,0.724/0.32,0.609/0.486
results_np,LR-BW,np,0.875/0.076,0.783/0.34,0.827/0.231,0.779/0.349
results_np,LR-CORAL,np,0.569/0.349,0.756/0.056,0.119/0.347,0.73/0.616
results_np,LR-SA,np,0.536/0.355,0.754/0.18,0.857/0.074,0.766/0.12
results_np_std,RF,np_std,0.009/0.32,0.053/0.441,0.08/0.347,0.002/0.53
results_np_std,RF-FA,np_std,0.005/0.351,0.0/0.518,0.003/0.326,0.002/0.07
results_np_std,RF-BW,np_std,0.004/0.321,0.001/0.517,0.002/0.321,0.002/0.505
results_np_std,RF-CORAL,np_std,0.09/0.347,0.086/0.485,0.037/0.347,0.015/0.573
results_np_std,RF-SA,np_std,0.119/0.34,0.002/0.278,0.008/0.119,0.019/0.314
results_np_std,LR,np_std,0.008/0.329,0.0/0.012,0.03/0.339,0.003/0.498
results_np_std,LR-FA,np_std,0.002/0.349,0.001/0.448,0.001/0.32,0.014/0.486
