,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.669,0.573,0.326,0.689
results_f,RF-FA,f,0.296,0.691,0.723,0.458
results_f,RF-BW,f,0.668,0.69,0.696,0.672
results_f,RF-CORAL,f,0.571,0.528,0.326,0.696
results_f,RF-SA,f,0.526,0.571,0.674,0.593
results_f,LR,f,0.631,0.49,0.193,0.68
results_f,LR-FA,f,0.106,0.68,0.722,0.49
results_f,LR-BW,f,0.704,0.669,0.702,0.611
results_f,LR-CORAL,f,0.564,0.495,0.236,0.675
results_f,LR-SA,f,0.576,0.549,0.685,0.52
results_f_std,RF,f_std,0.01,0.021,0.077,0.003
results_f_std,RF-FA,f_std,0.03,0.002,0.002,0.001
results_f_std,RF-BW,f_std,0.01,0.001,0.006,0.003
results_f_std,RF-CORAL,f_std,0.063,0.045,0.034,0.003
results_f_std,RF-SA,f_std,0.078,0.015,0.003,0.009
results_f_std,LR,f_std,0.003,0.018,0.041,0.002
results_f_std,LR-FA,f_std,0.003,0.0,0.001,0.001
results_f_std,LR-BW,f_std,0.002,0.002,0.003,0.004
results_f_std,LR-CORAL,f_std,0.017,0.011,0.021,0.004
results_f_std,LR-SA,f_std,0.033,0.017,0.003,0.006
results_np,RF,np,0.764/0.312,0.707/0.367,0.322/0.344,0.794/0.527
results_np,RF-FA,np,0.283/0.346,0.789/0.54,0.84/0.285,0.754/0.001
results_np,RF-BW,np,0.765/0.305,0.79/0.537,0.803/0.299,0.79/0.489
results_np,RF-CORAL,np,0.637/0.324,0.691/0.275,0.32/0.349,0.777/0.57
results_np,RF-SA,np,0.579/0.329,0.765/0.273,0.834/0.08,0.773/0.316
results_np,LR,np,0.716/0.315,0.752/0.086,0.154/0.342,0.796/0.5
results_np,LR-FA,np,0.041/0.35,0.792/0.506,0.86/0.207,0.759/0.076
results_np,LR-BW,np,0.83/0.235,0.787/0.488,0.871/0.07,0.782/0.347
results_np,LR-CORAL,np,0.62/0.355,0.752/0.099,0.207/0.344,0.715/0.614
results_np,LR-SA,np,0.637/0.346,0.745/0.247,0.842/0.1,0.768/0.138
results_np_std,RF,np_std,0.015/0.312,0.04/0.367,0.099/0.344,0.001/0.527
results_np_std,RF-FA,np_std,0.038/0.346,0.001/0.54,0.003/0.285,0.0/0.001
results_np_std,RF-BW,np_std,0.014/0.305,0.001/0.537,0.008/0.299,0.001/0.489
results_np_std,RF-CORAL,np_std,0.087/0.324,0.08/0.275,0.043/0.349,0.006/0.57
results_np_std,RF-SA,np_std,0.102/0.329,0.006/0.273,0.006/0.08,0.011/0.316
results_np_std,LR,np_std,0.006/0.315,0.002/0.086,0.052/0.342,0.001/0.5
results_np_std,LR-FA,np_std,0.004/0.35,0.0/0.506,0.001/0.207,0.0/0.076
results_np_std,LR-BW,np_std,0.006/0.235,0.002/0.488,0.003/0.07,0.002/0.347
