,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.682,0.528,0.32,0.693
results_f,RF-FA,f,0.559,0.64,0.693,0.526
results_f,RF-BW,f,0.683,0.629,0.679,0.684
results_f,RF-CORAL,f,0.568,0.573,0.287,0.686
results_f,RF-SA,f,0.685,0.548,0.679,0.618
results_f,LR,f,0.616,0.474,0.287,0.681
results_f,LR-FA,f,0.495,0.614,0.626,0.527
results_f,LR-BW,f,0.71,0.571,0.681,0.608
results_f,LR-CORAL,f,0.561,0.486,0.271,0.688
results_f,LR-SA,f,0.519,0.552,0.692,0.551
results_f_std,RF,f_std,0.011,0.013,0.059,0.005
results_f_std,RF-FA,f_std,0.016,0.002,0.002,0.009
results_f_std,RF-BW,f_std,0.006,0.003,0.009,0.003
results_f_std,RF-CORAL,f_std,0.037,0.008,0.054,0.012
results_f_std,RF-SA,f_std,0.02,0.018,0.003,0.005
results_f_std,LR,f_std,0.007,0.006,0.038,0.002
results_f_std,LR-FA,f_std,0.015,0.003,0.001,0.004
results_f_std,LR-BW,f_std,0.002,0.004,0.004,0.006
results_f_std,LR-CORAL,f_std,0.018,0.003,0.032,0.005
results_f_std,LR-SA,f_std,0.027,0.013,0.003,0.003
results_np,RF,np,0.78/0.313,0.722/0.229,0.315/0.341,0.794/0.536
results_np,RF-FA,np,0.63/0.294,0.786/0.416,0.796/0.31,0.757/0.17
results_np,RF-BW,np,0.781/0.317,0.775/0.403,0.78/0.299,0.792/0.518
results_np,RF-CORAL,np,0.631/0.334,0.694/0.385,0.271/0.347,0.757/0.576
results_np,RF-SA,np,0.805/0.234,0.769/0.207,0.84/0.078,0.777/0.372
results_np,LR,np,0.694/0.323,0.755/0.041,0.272/0.341,0.797/0.503
results_np,LR-FA,np,0.536/0.34,0.785/0.351,0.714/0.296,0.732/0.212
results_np,LR-BW,np,0.867/0.126,0.779/0.249,0.801/0.235,0.782/0.341
results_np,LR-CORAL,np,0.618/0.345,0.755/0.073,0.252/0.339,0.733/0.619
results_np,LR-SA,np,0.563/0.356,0.752/0.244,0.853/0.09,0.776/0.204
results_np_std,RF,np_std,0.014/0.313,0.018/0.229,0.076/0.341,0.003/0.536
results_np_std,RF-FA,np_std,0.025/0.294,0.001/0.416,0.003/0.31,0.002/0.17
results_np_std,RF-BW,np_std,0.006/0.317,0.001/0.403,0.012/0.299,0.002/0.518
results_np_std,RF-CORAL,np_std,0.05/0.334,0.022/0.385,0.069/0.347,0.018/0.576
results_np_std,RF-SA,np_std,0.047/0.234,0.005/0.207,0.003/0.078,0.011/0.372
results_np_std,LR,np_std,0.009/0.323,0.0/0.041,0.049/0.341,0.002/0.503
results_np_std,LR-FA,np_std,0.02/0.34,0.002/0.351,0.001/0.296,0.002/0.212
results_np_std,LR-BW,np_std,0.004/0.126,0.001/0.249,0.008/0.235,0.002/0.341
results_np_std,LR-CORAL,np_std,0.023/0.345,0.004/0.073,0.041/0.339,0.007/0.619
