,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.596,0.51,0.155,0.689
results_f,RF-FA,f,0.322,0.67,0.672,0.537
results_f,RF-BW,f,0.599,0.633,0.667,0.678
results_f,RF-CORAL,f,0.608,0.532,0.156,0.699
results_f,RF-SA,f,0.592,0.566,0.68,0.621
results_f,LR,f,0.62,0.468,0.174,0.68
results_f,LR-FA,f,0.115,0.649,0.573,0.539
results_f,LR-BW,f,0.694,0.559,0.658,0.626
results_f,LR-CORAL,f,0.492,0.505,0.224,0.69
results_f,LR-SA,f,0.54,0.51,0.692,0.525
results_f_std,RF,f_std,0.027,0.031,0.014,0.005
results_f_std,RF-FA,f_std,0.069,0.009,0.003,0.009
results_f_std,RF-BW,f_std,0.018,0.004,0.005,0.007
results_f_std,RF-CORAL,f_std,0.058,0.016,0.015,0.006
results_f_std,RF-SA,f_std,0.066,0.02,0.002,0.007
results_f_std,LR,f_std,0.011,0.006,0.032,0.001
results_f_std,LR-FA,f_std,0.001,0.001,0.001,0.002
results_f_std,LR-BW,f_std,0.007,0.008,0.008,0.004
results_f_std,LR-CORAL,f_std,0.009,0.01,0.023,0.003
results_f_std,LR-SA,f_std,0.02,0.012,0.002,0.005
results_np,RF,np,0.666/0.333,0.733/0.165,0.103/0.348,0.793/0.528
results_np,RF-FA,np,0.32/0.329,0.744/0.556,0.766/0.32,0.734/0.234
results_np,RF-BW,np,0.677/0.309,0.737/0.471,0.764/0.307,0.792/0.503
results_np,RF-CORAL,np,0.683/0.324,0.732/0.223,0.105/0.348,0.774/0.584
results_np,RF-SA,np,0.681/0.26,0.703/0.356,0.843/0.07,0.78/0.375
results_np,LR,np,0.696/0.334,0.756/0.025,0.129/0.34,0.795/0.501
results_np,LR-FA,np,0.055/0.339,0.778/0.452,0.635/0.34,0.75/0.215
results_np,LR-BW,np,0.816/0.238,0.773/0.231,0.756/0.294,0.785/0.38
results_np,LR-CORAL,np,0.528/0.358,0.748/0.13,0.191/0.344,0.737/0.617
results_np,LR-SA,np,0.591/0.35,0.752/0.136,0.858/0.07,0.769/0.148
results_np_std,RF,np_std,0.034/0.333,0.025/0.165,0.018/0.348,0.002/0.528
results_np_std,RF-FA,np_std,0.09/0.329,0.01/0.556,0.004/0.32,0.004/0.234
results_np_std,RF-BW,np_std,0.025/0.309,0.007/0.471,0.006/0.307,0.003/0.503
results_np_std,RF-CORAL,np_std,0.078/0.324,0.015/0.223,0.019/0.348,0.008/0.584
results_np_std,RF-SA,np_std,0.093/0.26,0.029/0.356,0.004/0.07,0.006/0.375
results_np_std,LR,np_std,0.014/0.334,0.001/0.025,0.041/0.34,0.002/0.501
results_np_std,LR-FA,np_std,0.001/0.339,0.0/0.452,0.001/0.34,0.003/0.215
results_np_std,LR-BW,np_std,0.016/0.238,0.002/0.231,0.011/0.294,0.001/0.38
results_np_std,LR-CORAL,np_std,0.012/0.358,0.012/0.13,0.03/0.344,0.006/0.617
results_np_std,LR-SA,np_std,0.028/0.35,0.004/0.136,0.005/0.07,0.001/0.148
results_np_P,RF,np_P,0.816/0.245,0.613/0.535,0.813/0.213,0.704/0.743
results_np_P,RF-FA,np_P,0.778/0.209,0.713/0.602,0.815/0.273,0.621/0.494
results_np_P,RF-BW,np_P,0.804/0.232,0.675/0.58,0.811/0.263,0.695/0.754
results_np_P,RF-CORAL,np_P,0.815/0.249,0.619/0.489,0.815/0.213,0.728/0.664
