,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.588,0.483,0.156,0.69
results_f,RF-FA,f,0.568,0.665,0.692,0.582
results_f,RF-BW,f,0.656,0.639,0.673,0.683
results_f,RF-CORAL,f,0.479,0.55,0.291,0.697
results_f,RF-SA,f,0.586,0.559,0.673,0.625
results_f,LR,f,0.623,0.488,0.231,0.679
results_f,LR-FA,f,0.256,0.65,0.586,0.541
results_f,LR-BW,f,0.716,0.571,0.688,0.627
results_f,LR-CORAL,f,0.44,0.542,0.265,0.688
results_f,LR-SA,f,0.558,0.526,0.691,0.544
results_f_std,RF,f_std,0.015,0.015,0.025,0.003
results_f_std,RF-FA,f_std,0.045,0.006,0.001,0.017
results_f_std,RF-BW,f_std,0.006,0.01,0.005,0.002
results_f_std,RF-CORAL,f_std,0.064,0.045,0.027,0.005
results_f_std,RF-SA,f_std,0.049,0.014,0.002,0.008
results_f_std,LR,f_std,0.009,0.021,0.022,0.003
results_f_std,LR-FA,f_std,0.007,0.002,0.003,0.003
results_f_std,LR-BW,f_std,0.003,0.004,0.008,0.004
results_f_std,LR-CORAL,f_std,0.025,0.006,0.027,0.002
results_f_std,LR-SA,f_std,0.017,0.007,0.002,0.008
results_np,RF,np,0.656/0.337,0.727/0.107,0.104/0.349,0.795/0.53
results_np,RF-FA,np,0.645/0.28,0.756/0.523,0.808/0.262,0.77/0.292
results_np,RF-BW,np,0.759/0.271,0.73/0.498,0.781/0.271,0.796/0.51
results_np,RF-CORAL,np,0.515/0.343,0.728/0.275,0.277/0.346,0.777/0.572
results_np,RF-SA,np,0.67/0.272,0.687/0.362,0.835/0.067,0.765/0.409
results_np,LR,np,0.702/0.326,0.757/0.072,0.201/0.342,0.795/0.5
results_np,LR-FA,np,0.231/0.348,0.786/0.44,0.655/0.33,0.742/0.231
results_np,LR-BW,np,0.846/0.23,0.771/0.262,0.801/0.266,0.79/0.376
results_np,LR-CORAL,np,0.461/0.359,0.746/0.226,0.245/0.342,0.736/0.615
results_np,LR-SA,np,0.615/0.348,0.756/0.171,0.854/0.081,0.774/0.191
results_np_std,RF,np_std,0.017/0.337,0.015/0.107,0.032/0.349,0.002/0.53
