,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.679,0.479,0.327,0.688
results_f,RF-FA,f,0.546,0.679,0.618,0.482
results_f,RF-BW,f,0.671,0.651,0.629,0.684
results_f,RF-CORAL,f,0.586,0.502,0.392,0.691
results_f,RF-SA,f,0.66,0.484,0.676,0.632
results_f,LR,f,0.632,0.471,0.216,0.68
results_f,LR-FA,f,0.328,0.676,0.697,0.512
results_f,LR-BW,f,0.706,0.593,0.699,0.583
results_f,LR-CORAL,f,0.458,0.532,0.231,0.689
results_f,LR-SA,f,0.585,0.503,0.69,0.537
results_f_std,RF,f_std,0.007,0.002,0.045,0.005
results_f_std,RF-FA,f_std,0.023,0.003,0.001,0.005
results_f_std,RF-BW,f_std,0.006,0.004,0.004,0.003
results_f_std,RF-CORAL,f_std,0.029,0.015,0.075,0.005
results_f_std,RF-SA,f_std,0.059,0.023,0.005,0.011
results_f_std,LR,f_std,0.005,0.004,0.022,0.002
results_f_std,LR-FA,f_std,0.009,0.001,0.002,0.008
results_f_std,LR-BW,f_std,0.005,0.003,0.001,0.003
results_f_std,LR-CORAL,f_std,0.02,0.004,0.02,0.002
results_f_std,LR-SA,f_std,0.016,0.006,0.003,0.009
results_np,RF,np,0.778/0.309,0.715/0.115,0.322/0.345,0.791/0.529
results_np,RF-FA,np,0.623/0.259,0.79/0.508,0.701/0.309,0.739/0.084
results_np,RF-BW,np,0.767/0.314,0.783/0.448,0.715/0.306,0.791/0.519
results_np,RF-CORAL,np,0.653/0.334,0.607/0.34,0.405/0.345,0.782/0.551
results_np,RF-SA,np,0.752/0.315,0.759/0.059,0.827/0.113,0.785/0.397
results_np,LR,np,0.715/0.323,0.756/0.032,0.183/0.341,0.797/0.5
results_np,LR-FA,np,0.325/0.339,0.785/0.508,0.807/0.285,0.738/0.163
results_np,LR-BW,np,0.876/0.071,0.781/0.304,0.88/0.022,0.775/0.286
results_np,LR-CORAL,np,0.483/0.363,0.744/0.204,0.201/0.344,0.742/0.606
results_np,LR-SA,np,0.648/0.35,0.752/0.12,0.85/0.094,0.772/0.175
results_np_std,RF,np_std,0.01/0.309,0.006/0.115,0.057/0.345,0.002/0.529
results_np_std,RF-FA,np_std,0.034/0.259,0.001/0.508,0.001/0.309,0.003/0.084
results_np_std,RF-BW,np_std,0.008/0.314,0.003/0.448,0.004/0.306,0.003/0.519
results_np_std,RF-CORAL,np_std,0.039/0.334,0.044/0.34,0.096/0.345,0.012/0.551
results_np_std,RF-SA,np_std,0.083/0.315,0.003/0.059,0.009/0.113,0.003/0.397
results_np_std,LR,np_std,0.006/0.323,0.001/0.032,0.028/0.341,0.002/0.5
results_np_std,LR-FA,np_std,0.012/0.339,0.0/0.508,0.003/0.285,0.002/0.163
results_np_std,LR-BW,np_std,0.001/0.071,0.001/0.304,0.001/0.022,0.001/0.286
results_np_std,LR-CORAL,np_std,0.025/0.363,0.014/0.204,0.026/0.344,0.004/0.606
results_np_std,LR-SA,np_std,0.023/0.35,0.004/0.12,0.007/0.094,0.002/0.175
results_np_P,RF,np_P,0.812/0.273,0.597/0.302,0.817/0.218,0.704/0.736
results_np_P,RF-FA,np_P,0.77/0.189,0.696/0.742,0.806/0.238,0.606/0.376
results_np_P,RF-BW,np_P,0.813/0.269,0.678/0.741,0.806/0.24,0.7/0.74
results_np_P,RF-CORAL,np_P,0.817/0.242,0.592/0.362,0.818/0.222,0.712/0.697
results_np_P,RF-SA,np_P,0.818/0.281,0.613/0.656,0.782/0.157,0.667/0.79
results_np_P,LR,np_P,0.813/0.251,0.609/0.685,0.782/0.21,0.695/0.782
results_np_P,LR-FA,np_P,0.802/0.215,0.696/0.718,0.808/0.283,0.613/0.462
results_np_P,LR-BW,np_P,0.792/0.336,0.649/0.851,0.79/0.345,0.645/0.803
results_np_P,LR-CORAL,np_P,0.846/0.238,0.621/0.561,0.803/0.213,0.745/0.603
results_np_P,LR-SA,np_P,0.827/0.25,0.615/0.568,0.787/0.181,0.63/0.957
results_np_R,RF,np_R,0.746/0.357,0.892/0.071,0.203/0.83,0.904/0.413
results_np_R,RF-FA,np_R,0.525/0.415,0.913/0.386,0.621/0.441,0.949/0.047
results_np_R,RF-BW,np_R,0.726/0.376,0.927/0.321,0.643/0.421,0.909/0.399
results_np_R,RF-CORAL,np_R,0.546/0.541,0.63/0.329,0.275/0.772,0.868/0.458
results_np_R,RF-SA,np_R,0.711/0.401,0.995/0.032,0.877/0.089,0.954/0.266
results_np_R,LR,np_R,0.637/0.454,0.995/0.016,0.104/0.892,0.934/0.368
results_np_R,LR-FA,np_R,0.204/0.812,0.9/0.393,0.806/0.286,0.925/0.1
results_np_R,LR-BW,np_R,0.98/0.04,0.979/0.185,0.994/0.011,0.972/0.174
results_np_R,LR-CORAL,np_R,0.339/0.769,0.929/0.127,0.115/0.893,0.74/0.609
results_np_R,LR-SA,np_R,0.534/0.582,0.966/0.067,0.924/0.064,0.997/0.096
results_np_AUC,RF,AUC,0.5905177239028344,0.48985357085613535,0.4842066318624998,0.7287053786092095
results_np_AUC,RF-FA,AUC,0.0,0.6979941840496418,0.558459081265346,0.0
results_np_AUC,RF-BW,AUC,0.0,0.6949717216586908,0.5491798135831605,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.4995950014883338,0.5091022908770173,0.0
results_np_AUC,RF-SA,AUC,0.0,0.643770178371076,0.4877058332737372,0.0
results_np_AUC,LR,AUC,0.5863034637297672,0.5403367068898404,0.49991913990798353,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.6900401850113342,0.585898591146392,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7073821354154741,0.5489119645283559,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5427666979598379,0.4905294524303321,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5403367068898404,0.49991913990798353,0.0
