,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.667,0.511,0.37,0.692
results_f,RF-FA,f,0.501,0.668,0.671,0.46
results_f,RF-BW,f,0.671,0.629,0.599,0.68
results_f,RF-CORAL,f,0.581,0.501,0.391,0.699
results_f,RF-SA,f,0.54,0.573,0.678,0.606
results_f,LR,f,0.608,0.502,0.209,0.68
results_f,LR-FA,f,0.304,0.639,0.703,0.521
results_f,LR-BW,f,0.717,0.584,0.722,0.591
results_f,LR-CORAL,f,0.52,0.501,0.285,0.688
results_f,LR-SA,f,0.578,0.535,0.688,0.525
results_f_std,RF,f_std,0.022,0.007,0.051,0.004
results_f_std,RF-FA,f_std,0.007,0.004,0.005,0.001
results_f_std,RF-BW,f_std,0.002,0.006,0.015,0.005
results_f_std,RF-CORAL,f_std,0.021,0.024,0.075,0.003
results_f_std,RF-SA,f_std,0.064,0.025,0.002,0.01
results_f_std,LR,f_std,0.009,0.023,0.028,0.002
results_f_std,LR-FA,f_std,0.017,0.001,0.002,0.003
results_f_std,LR-BW,f_std,0.007,0.001,0.001,0.004
results_f_std,LR-CORAL,f_std,0.011,0.007,0.029,0.003
results_f_std,LR-SA,f_std,0.004,0.021,0.002,0.006
results_np,RF,np,0.759/0.321,0.718/0.191,0.38/0.335,0.794/0.534
results_np,RF-FA,np,0.558/0.289,0.78/0.496,0.765/0.323,0.753/0.007
results_np,RF-BW,np,0.764/0.323,0.764/0.422,0.669/0.337,0.79/0.509
results_np,RF-CORAL,np,0.644/0.345,0.616/0.322,0.404/0.342,0.781/0.572
results_np,RF-SA,np,0.593/0.344,0.777/0.259,0.828/0.116,0.782/0.335
results_np,LR,np,0.682/0.333,0.748/0.122,0.173/0.342,0.796/0.501
results_np,LR-FA,np,0.294/0.343,0.788/0.41,0.805/0.323,0.739/0.183
results_np,LR-BW,np,0.877/0.121,0.779/0.283,0.867/0.181,0.772/0.312
results_np,LR-CORAL,np,0.567/0.343,0.741/0.132,0.27/0.339,0.734/0.616
results_np,LR-SA,np,0.642/0.337,0.75/0.204,0.845/0.101,0.769/0.149
results_np_std,RF,np_std,0.03/0.321,0.021/0.191,0.067/0.335,0.002/0.534
results_np_std,RF-FA,np_std,0.01/0.289,0.001/0.496,0.007/0.323,0.0/0.007
results_np_std,RF-BW,np_std,0.001/0.323,0.002/0.422,0.02/0.337,0.002/0.509
results_np_std,RF-CORAL,np_std,0.027/0.345,0.068/0.322,0.097/0.342,0.007/0.572
results_np_std,RF-SA,np_std,0.084/0.344,0.006/0.259,0.005/0.116,0.004/0.335
results_np_std,LR,np_std,0.011/0.333,0.003/0.122,0.037/0.342,0.002/0.501
results_np_std,LR-FA,np_std,0.021/0.343,0.001/0.41,0.003/0.323,0.0/0.183
results_np_std,LR-BW,np_std,0.004/0.121,0.0/0.283,0.007/0.181,0.002/0.312
results_np_std,LR-CORAL,np_std,0.015/0.343,0.008/0.132,0.038/0.339,0.005/0.616
results_np_std,LR-SA,np_std,0.004/0.337,0.004/0.204,0.006/0.101,0.001/0.149
results_np_P,RF,np_P,0.815/0.272,0.608/0.419,0.802/0.215,0.706/0.747
results_np_P,RF-FA,np_P,0.774/0.199,0.691/0.703,0.816/0.274,0.606/0.297
results_np_P,RF-BW,np_P,0.816/0.273,0.667/0.655,0.818/0.247,0.697/0.742
results_np_P,RF-CORAL,np_P,0.823/0.247,0.591/0.367,0.815/0.221,0.722/0.686
results_np_P,RF-SA,np_P,0.827/0.24,0.642/0.868,0.783/0.165,0.655/0.823
results_np_P,LR,np_P,0.817/0.248,0.614/0.522,0.786/0.211,0.695/0.78
