,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.677,0.485,0.41,0.691
results_f,RF-FA,f,0.306,0.7,0.679,0.458
results_f,RF-BW,f,0.671,0.692,0.661,0.684
results_f,RF-CORAL,f,0.555,0.485,0.375,0.698
results_f,RF-SA,f,0.684,0.518,0.672,0.588
results_f,LR,f,0.623,0.474,0.187,0.681
results_f,LR-FA,f,0.085,0.672,0.618,0.509
results_f,LR-BW,f,0.708,0.594,0.699,0.578
results_f,LR-CORAL,f,0.388,0.54,0.265,0.684
results_f,LR-SA,f,0.547,0.514,0.691,0.521
results_f_std,RF,f_std,0.017,0.006,0.057,0.004
results_f_std,RF-FA,f_std,0.021,0.003,0.004,0.0
results_f_std,RF-BW,f_std,0.008,0.007,0.006,0.004
results_f_std,RF-CORAL,f_std,0.016,0.016,0.065,0.003
results_f_std,RF-SA,f_std,0.024,0.005,0.002,0.007
results_f_std,LR,f_std,0.011,0.011,0.02,0.002
results_f_std,LR-FA,f_std,0.002,0.003,0.002,0.001
results_f_std,LR-BW,f_std,0.006,0.005,0.006,0.009
results_f_std,LR-CORAL,f_std,0.036,0.012,0.024,0.003
results_f_std,LR-SA,f_std,0.029,0.014,0.003,0.005
results_np,RF,np,0.779/0.298,0.725/0.115,0.43/0.334,0.793/0.534
results_np,RF-FA,np,0.295/0.35,0.793/0.556,0.779/0.304,0.755/0.0
results_np,RF-BW,np,0.77/0.3,0.784/0.55,0.759/0.295,0.792/0.517
results_np,RF-CORAL,np,0.61/0.347,0.573/0.349,0.383/0.346,0.777/0.575
results_np,RF-SA,np,0.789/0.289,0.763/0.14,0.83/0.081,0.759/0.325
results_np,LR,np,0.703/0.326,0.756/0.04,0.146/0.342,0.797/0.502
results_np,LR-FA,np,0.015/0.347,0.795/0.482,0.697/0.323,0.765/0.116
results_np,LR-BW,np,0.829/0.254,0.778/0.311,0.812/0.278,0.776/0.273
results_np,LR-CORAL,np,0.396/0.358,0.744/0.225,0.245/0.341,0.728/0.617
