,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.686,0.558,0.349,0.688
results_f,RF-FA,f,0.564,0.695,0.709,0.508
results_f,RF-BW,f,0.684,0.687,0.709,0.688
results_f,RF-CORAL,f,0.553,0.509,0.415,0.689
results_f,RF-SA,f,0.622,0.515,0.674,0.446
results_f,LR,f,0.633,0.481,0.194,0.68
results_f,LR-FA,f,0.17,0.663,0.636,0.481
results_f,LR-BW,f,0.672,0.615,0.701,0.632
results_f,LR-CORAL,f,0.498,0.519,0.28,0.688
results_f,LR-SA,f,0.584,0.527,0.692,0.526
results_f_std,RF,f_std,0.007,0.021,0.072,0.002
results_f_std,RF-FA,f_std,0.006,0.002,0.003,0.009
results_f_std,RF-BW,f_std,0.005,0.003,0.002,0.005
results_f_std,RF-CORAL,f_std,0.026,0.023,0.089,0.004
results_f_std,RF-SA,f_std,0.07,0.031,0.002,0.08
results_f_std,LR,f_std,0.004,0.012,0.032,0.002
results_f_std,LR-FA,f_std,0.007,0.002,0.001,0.006
results_f_std,LR-BW,f_std,0.008,0.001,0.005,0.002
results_f_std,LR-CORAL,f_std,0.029,0.014,0.031,0.004
results_f_std,LR-SA,f_std,0.019,0.006,0.004,0.006
results_np,RF,np,0.785/0.317,0.716/0.314,0.352/0.339,0.79/0.532
results_np,RF-FA,np,0.64/0.279,0.788/0.551,0.83/0.257,0.74/0.151
results_np,RF-BW,np,0.784/0.313,0.776/0.549,0.836/0.236,0.791/0.528
results_np,RF-CORAL,np,0.609/0.345,0.602/0.365,0.439/0.325,0.766/0.571
results_np,RF-SA,np,0.7/0.333,0.758/0.14,0.829/0.096,0.406/0.507
results_np,LR,np,0.717/0.318,0.755/0.058,0.155/0.343,0.797/0.501
results_np,LR-FA,np,0.123/0.344,0.791/0.466,0.728/0.295,0.551/0.374
results_np,LR-BW,np,0.778/0.274,0.776/0.366,0.834/0.204,0.789/0.391
results_np,LR-CORAL,np,0.535/0.359,0.744/0.173,0.264/0.339,0.735/0.615
results_np,LR-SA,np,0.649/0.342,0.752/0.181,0.859/0.071,0.769/0.15
results_np_std,RF,np_std,0.012/0.317,0.02/0.314,0.092/0.339,0.002/0.532
results_np_std,RF-FA,np_std,0.01/0.279,0.002/0.551,0.003/0.257,0.002/0.151
results_np_std,RF-BW,np_std,0.006/0.313,0.003/0.549,0.004/0.236,0.003/0.528
results_np_std,RF-CORAL,np_std,0.034/0.345,0.091/0.365,0.115/0.325,0.005/0.571
results_np_std,RF-SA,np_std,0.095/0.333,0.007/0.14,0.007/0.096,0.132/0.507
results_np_std,LR,np_std,0.005/0.318,0.001/0.058,0.042/0.343,0.001/0.501
results_np_std,LR-FA,np_std,0.009/0.344,0.0/0.466,0.001/0.295,0.012/0.374
results_np_std,LR-BW,np_std,0.012/0.274,0.001/0.366,0.011/0.204,0.001/0.391
results_np_std,LR-CORAL,np_std,0.036/0.359,0.014/0.173,0.041/0.339,0.006/0.615
results_np_std,LR-SA,np_std,0.026/0.342,0.003/0.181,0.006/0.071,0.001/0.15
results_np_P,RF,np_P,0.815/0.284,0.629/0.484,0.807/0.216,0.705/0.728
results_np_P,RF-FA,np_P,0.783/0.204,0.712/0.712,0.805/0.297,0.613/0.467
results_np_P,RF-BW,np_P,0.814/0.28,0.711/0.674,0.802/0.293,0.703/0.735
results_np_P,RF-CORAL,np_P,0.823/0.241,0.604/0.411,0.797/0.213,0.721/0.645
results_np_P,RF-SA,np_P,0.822/0.266,0.621/0.762,0.781/0.142,0.605/0.403
results_np_P,LR,np_P,0.811/0.249,0.611/0.633,0.791/0.211,0.695/0.781
results_np_P,LR-FA,np_P,0.786/0.211,0.684/0.777,0.803/0.237,0.575/0.353
results_np_P,LR-BW,np_P,0.802/0.251,0.658/0.743,0.797/0.266,0.667/0.831
results_np_P,LR-CORAL,np_P,0.837/0.24,0.618/0.547,0.796/0.212,0.753/0.594
results_np_P,LR-SA,np_P,0.822/0.246,0.622/0.593,0.787/0.18,0.626/0.951
results_np_R,RF,np_R,0.757/0.359,0.835/0.239,0.23/0.791,0.899/0.419
results_np_R,RF-FA,np_R,0.542/0.439,0.882/0.45,0.857/0.226,0.934/0.09
results_np_R,RF-BW,np_R,0.755/0.355,0.855/0.463,0.872/0.198,0.904/0.412
results_np_R,RF-CORAL,np_R,0.485/0.611,0.623/0.376,0.314/0.696,0.816/0.513
results_np_R,RF-SA,np_R,0.625/0.488,0.972/0.084,0.884/0.074,0.321/0.696
results_np_R,LR,np_R,0.643/0.442,0.988/0.031,0.087/0.913,0.933/0.369
results_np_R,LR-FA,np_R,0.067/0.932,0.938/0.333,0.666/0.389,0.529/0.397
results_np_R,LR-BW,np_R,0.756/0.304,0.946/0.243,0.876/0.167,0.966/0.255
results_np_R,LR-CORAL,np_R,0.395/0.712,0.935/0.107,0.159/0.846,0.718/0.637
results_np_R,LR-SA,np_R,0.537/0.565,0.951/0.107,0.945/0.045,0.997/0.082
results_np_AUC,RF,AUC,0.5894188657655726,0.5808966638426488,0.49252730696798497,0.7325521489249651
results_np_AUC,RF-FA,AUC,0.0,0.7324805944176036,0.561571050561396,0.0
results_np_AUC,RF-BW,AUC,0.0,0.7238110503056808,0.5562868244773415,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5199393790213632,0.48688302462514005,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6680013967439837,0.47999523230589525,0.0
results_np_AUC,LR,AUC,0.5804887839996187,0.5775278776360682,0.49898486257121744,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.7185360520229891,0.5494411785739828,0.0
results_np_AUC,LR-BW,AUC,0.0,0.7039103107182927,0.5400200243152399,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5445469741029927,0.4900162578368972,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5775307398163626,0.49898486257121744,0.0
