,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.681,0.483,0.317,0.69
results_f,RF-FA,f,0.078,0.66,0.706,0.459
results_f,RF-BW,f,0.666,0.652,0.693,0.676
results_f,RF-CORAL,f,0.502,0.5,0.403,0.697
results_f,RF-SA,f,0.576,0.546,0.673,0.583
results_f,LR,f,0.62,0.488,0.237,0.68
results_f,LR-FA,f,0.082,0.687,0.597,0.618
results_f,LR-BW,f,0.716,0.642,0.704,0.616
results_f,LR-CORAL,f,0.494,0.528,0.291,0.686
results_f,LR-SA,f,0.561,0.534,0.684,0.531
results_f_std,RF,f_std,0.011,0.008,0.047,0.003
results_f_std,RF-FA,f_std,0.002,0.003,0.003,0.001
results_f_std,RF-BW,f_std,0.008,0.002,0.003,0.005
results_f_std,RF-CORAL,f_std,0.029,0.026,0.049,0.006
results_f_std,RF-SA,f_std,0.089,0.035,0.002,0.013
results_f_std,LR,f_std,0.008,0.014,0.013,0.002
results_f_std,LR-FA,f_std,0.001,0.001,0.003,0.003
results_f_std,LR-BW,f_std,0.003,0.002,0.006,0.006
results_f_std,LR-CORAL,f_std,0.032,0.012,0.037,0.003
results_f_std,LR-SA,f_std,0.015,0.006,0.001,0.009
results_np,RF,np,0.779/0.315,0.732/0.099,0.309/0.344,0.794/0.528
results_np,RF-FA,np,0.005/0.349,0.782/0.473,0.815/0.3,0.755/0.003
results_np,RF-BW,np,0.761/0.314,0.772/0.467,0.795/0.31,0.791/0.498
results_np,RF-CORAL,np,0.54/0.358,0.582/0.372,0.419/0.343,0.779/0.569
results_np,RF-SA,np,0.645/0.316,0.771/0.199,0.839/0.052,0.774/0.288
results_np,LR,np,0.701/0.318,0.758/0.072,0.208/0.344,0.797/0.499
results_np,LR-FA,np,0.011/0.35,0.79/0.529,0.667/0.336,0.733/0.44
results_np,LR-BW,np,0.857/0.193,0.789/0.415,0.822/0.261,0.783/0.36
