,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.685,0.53,0.346,0.688
results_f,RF-FA,f,0.626,0.674,0.696,0.499
results_f,RF-BW,f,0.683,0.656,0.703,0.684
results_f,RF-CORAL,f,0.486,0.48,0.253,0.695
results_f,RF-SA,f,0.642,0.493,0.674,0.671
results_f,LR,f,0.634,0.505,0.234,0.679
results_f,LR-FA,f,0.598,0.63,0.627,0.553
results_f,LR-BW,f,0.707,0.61,0.684,0.598
results_f,LR-CORAL,f,0.465,0.554,0.313,0.687
results_f,LR-SA,f,0.611,0.526,0.692,0.543
results_f_std,RF,f_std,0.012,0.01,0.094,0.002
results_f_std,RF-FA,f_std,0.004,0.002,0.001,0.005
results_f_std,RF-BW,f_std,0.007,0.001,0.002,0.006
results_f_std,RF-CORAL,f_std,0.077,0.023,0.067,0.003
results_f_std,RF-SA,f_std,0.082,0.026,0.001,0.007
results_f_std,LR,f_std,0.003,0.008,0.035,0.002
results_f_std,LR-FA,f_std,0.008,0.002,0.0,0.004
results_f_std,LR-BW,f_std,0.001,0.005,0.005,0.005
results_f_std,LR-CORAL,f_std,0.05,0.004,0.048,0.003
results_f_std,LR-SA,f_std,0.022,0.005,0.003,0.01
results_np,RF,np,0.787/0.304,0.693/0.279,0.349/0.334,0.791/0.528
results_np,RF-FA,np,0.74/0.199,0.788/0.498,0.814/0.258,0.711/0.173
results_np,RF-BW,np,0.783/0.309,0.774/0.474,0.819/0.27,0.792/0.518
results_np,RF-CORAL,np,0.521/0.354,0.522/0.415,0.228/0.347,0.779/0.566
results_np,RF-SA,np,0.733/0.303,0.759/0.083,0.834/0.077,0.789/0.489
results_np,LR,np,0.718/0.32,0.756/0.119,0.204/0.343,0.796/0.499
results_np,LR-FA,np,0.685/0.274,0.781/0.397,0.709/0.323,0.709/0.312
results_np,LR-BW,np,0.857/0.147,0.785/0.341,0.797/0.266,0.777/0.322
results_np,LR-CORAL,np,0.494/0.357,0.723/0.294,0.308/0.335,0.737/0.609
results_np,LR-SA,np,0.686/0.332,0.751/0.178,0.855/0.084,0.774/0.188
results_np_std,RF,np_std,0.017/0.304,0.008/0.279,0.124/0.334,0.002/0.528
results_np_std,RF-FA,np_std,0.007/0.199,0.001/0.498,0.003/0.258,0.005/0.173
results_np_std,RF-BW,np_std,0.008/0.309,0.001/0.474,0.003/0.27,0.003/0.518
results_np_std,RF-CORAL,np_std,0.098/0.354,0.054/0.415,0.086/0.347,0.01/0.566
results_np_std,RF-SA,np_std,0.112/0.303,0.005/0.083,0.003/0.077,0.005/0.489
results_np_std,LR,np_std,0.003/0.32,0.004/0.119,0.045/0.343,0.002/0.499
results_np_std,LR-FA,np_std,0.011/0.274,0.001/0.397,0.0/0.323,0.005/0.312
results_np_std,LR-BW,np_std,0.007/0.147,0.001/0.341,0.009/0.266,0.001/0.322
results_np_std,LR-CORAL,np_std,0.064/0.357,0.011/0.294,0.062/0.335,0.004/0.609
results_np_std,LR-SA,np_std,0.031/0.332,0.004/0.178,0.005/0.084,0.003/0.188
results_np_P,RF,np_P,0.812/0.279,0.61/0.408,0.81/0.214,0.703/0.736
