,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.684,0.507,0.321,0.69
results_f,RF-FA,f,0.202,0.697,0.712,0.48
results_f,RF-BW,f,0.683,0.692,0.706,0.684
results_f,RF-CORAL,f,0.585,0.5,0.296,0.695
results_f,RF-SA,f,0.651,0.509,0.672,0.593
results_f,LR,f,0.619,0.483,0.241,0.679
results_f,LR-FA,f,0.082,0.676,0.645,0.485
results_f,LR-BW,f,0.713,0.614,0.715,0.558
results_f,LR-CORAL,f,0.517,0.504,0.266,0.687
results_f,LR-SA,f,0.548,0.531,0.692,0.545
results_f_std,RF,f_std,0.01,0.013,0.053,0.007
results_f_std,RF-FA,f_std,0.008,0.003,0.002,0.002
results_f_std,RF-BW,f_std,0.008,0.003,0.002,0.003
results_f_std,RF-CORAL,f_std,0.031,0.007,0.063,0.003
results_f_std,RF-SA,f_std,0.066,0.038,0.003,0.019
results_f_std,LR,f_std,0.007,0.015,0.022,0.003
results_f_std,LR-FA,f_std,0.001,0.002,0.001,0.003
results_f_std,LR-BW,f_std,0.004,0.002,0.002,0.003
results_f_std,LR-CORAL,f_std,0.03,0.002,0.023,0.003
results_f_std,LR-SA,f_std,0.031,0.019,0.003,0.008
results_np,RF,np,0.787/0.298,0.718/0.181,0.315/0.344,0.792/0.532
results_np,RF-FA,np,0.162/0.35,0.793/0.549,0.842/0.228,0.752/0.06
results_np,RF-BW,np,0.783/0.31,0.788/0.545,0.841/0.201,0.791/0.517
results_np,RF-CORAL,np,0.651/0.338,0.575/0.385,0.282/0.347,0.77/0.579
results_np,RF-SA,np,0.762/0.237,0.761/0.121,0.831/0.079,0.706/0.418
results_np,LR,np,0.697/0.328,0.756/0.061,0.214/0.342,0.796/0.498
results_np,LR-FA,np,0.01/0.349,0.798/0.488,0.738/0.296,0.66/0.214
results_np,LR-BW,np,0.842/0.231,0.782/0.355,0.86/0.173,0.77/0.231
results_np,LR-CORAL,np,0.562/0.349,0.751/0.123,0.246/0.34,0.733/0.617
results_np,LR-SA,np,0.602/0.347,0.753/0.189,0.852/0.094,0.774/0.191
results_np_std,RF,np_std,0.015/0.298,0.019/0.181,0.068/0.344,0.003/0.532
results_np_std,RF-FA,np_std,0.011/0.35,0.002/0.549,0.001/0.228,0.001/0.06
results_np_std,RF-BW,np_std,0.008/0.31,0.002/0.545,0.003/0.201,0.002/0.517
results_np_std,RF-CORAL,np_std,0.041/0.338,0.044/0.385,0.08/0.347,0.004/0.579
results_np_std,RF-SA,np_std,0.108/0.237,0.004/0.121,0.005/0.079,0.017/0.418
